campus,ssh_name,ssh_title,ssh_dept,stem_name,stem_title,stem_dept,stem_order,ssh_order
UC Berkeley,Oliver Arnold,Associate Professor,English,Oliver Maxwell Arnold,Associate Professor,English,1473,110
UCLA,Eric L. Gans,Emeritus Distinguished Professor,ELTS,Eric Gans,Distinguished Professor Emeritus,French (ELTS),412,155
UC Merced,Michael J Spivey,Professor,Cognitive and Information Sciences,Michael Spivey,Professor,Cognitive and Information Sciences,1471,164
UC Davis,Jorge L. Mazza Rodrigues,Professor,"Land, Air, and Water Resources",Jorge Mazza Rodrigues,Associate Professor,"Land, Air and Water Resources",1163,178
UC Berkeley,Achilles D Speliotopoulos,Lecturer with Continuing Appt,Physics,Achilles Speliotopoulos,Lecturer with Continuing Appointment,Physics,138,183
UC San Diego,Julie Cullen,Professor,Economics,Julie Berry Cullen,Professor,Economics,698,185
UC Davis,Richard Kravitz,Distinguished Professor,Internal Medicine,Richard L Kravitz,Professor,Internal Medicine,389,263
UC Davis,Ben Shaw,Professor,Mechanical and Aerospace Engineering,Benjamin D. Shaw,Professor,Mechanical and Aerospace Engineering,395,274
UC Santa Cruz,Justin G Marion,Professor,Economics,Justin Marion,Professor,Economics,734,278
UC San Diego,Randolph Edwin Bank,Distinguished Professor Emeritus,Mathematics,Randolph E Bank,"Distinguished Professor of Mathematics, emeritus",Mathematics,991,366
UC Riverside,Ye Li,Associate Professor,School of Business,Yehua Li,Professor and Chair,Statistics,1723,390
UC Riverside,Ye Li,Associate Professor,School of Business,Yaofa Li,Assistant Professor,Mechanical Engineering,1735,390
UC Davis,Andrew Fisher,Professor,Molecular and Cellular Biology,Andrew J. Fisher,Professor,Chemistry and Mol. Cell. Biol.,400,472
UC Berkeley,Jeffrey A Reimer,Professor of the Graduate School,Chemical and Biomolecular Engineering,Jeffrey Reimer,Distinguished Professor of the Graduate School,Chemical and Biomolecular Engineering,827,477
UC Berkeley,Rob Kirby,Emeritus,Mathematics,Robion Kirby,"Professor, Emeritus",Mathematics,117,554
UC San Diego,James Hamilton,Professor,Economics,James D. Hamilton,Professor,Economics,798,581
UC Irvine,Catherine Liu,Professor,Film and Media Studies,Chang Liu,Professor,Biomedical Engineering,842,599
UCLA,Sixiang Wang,Associate Professor,Asian Languages and Cultures,Sean Wang,Lecturer,Electrical & Computer Engineering,1549,603
UCLA,Yinghui Wu,Associate Professor,Asian Languages and Cultures,Yingnian Wu,Professor,Statistics and Data Science,535,604
UCLA,Daniel Eisenberg,Professor,Health Policy and Management,David Eisenberg,Professor,Biological Chemistry,1282,622
UC Riverside,Yenna Wu,Professor,Comparative Literature and Languages,Yue Jane Wu,Assistant Professor,Chemistry,1772,728
